      lxc-start 20180309155603.837 DEBUG    lxc_monitor - monitor.c:lxc_monitord_spawn:343 - Sucessfully synced with child process.
      lxc-start 20180309155603.837 DEBUG    lxc_monitor - monitor.c:lxc_monitord_spawn:312 - Finished waiting on pid 30917.
      lxc-start 20180309155603.837 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/1acbeb9be3e9be07//home/modit/.local/share/lxc".
      lxc-start 20180309155603.889 INFO     lxc_start - start.c:lxc_init:475 - Container "ubuntu2" is initialized.
      lxc-start 20180309155603.890 DEBUG    lxc_start - start.c:__lxc_start:1317 - Not dropping CAP_SYS_BOOT or watching utmp.
      lxc-start 20180309155603.890 INFO     lxc_cgroup - cgroups/cgroup.c:cgroup_init:68 - cgroup driver cgroupfs-ng initing for ubuntu2
      lxc-start 20180309155603.890 DEBUG    lxc_cgfsng - cgroups/cgfsng.c:filter_and_set_cpus:474 - No isolated cpus detected.
      lxc-start 20180309155603.890 DEBUG    lxc_cgfsng - cgroups/cgfsng.c:handle_cpuset_hierarchy:644 - "cgroup.clone_children" was already set to "1".
      lxc-start 20180309155603.891 INFO     lxc_start - start.c:lxc_spawn:1154 - Cloned CLONE_NEWUSER.
      lxc-start 20180309155603.891 INFO     lxc_start - start.c:lxc_spawn:1154 - Cloned CLONE_NEWNS.
      lxc-start 20180309155603.891 INFO     lxc_start - start.c:lxc_spawn:1154 - Cloned CLONE_NEWPID.
      lxc-start 20180309155603.891 INFO     lxc_start - start.c:lxc_spawn:1154 - Cloned CLONE_NEWUTS.
      lxc-start 20180309155603.891 INFO     lxc_start - start.c:lxc_spawn:1154 - Cloned CLONE_NEWIPC.
      lxc-start 20180309155603.897 INFO     lxc_start - start.c:do_start:745 - Unshared CLONE_NEWNET.
      lxc-start 20180309155603.897 DEBUG    lxc_cgfsng - cgroups/cgfsng.c:cgfsng_setup_limits:1954 - cgroup 'memory.limit_in_bytes' set to '2G'
      lxc-start 20180309155603.898 DEBUG    lxc_cgfsng - cgroups/cgfsng.c:cgfsng_setup_limits:1954 - cgroup 'cpuset.cpus' set to '1'
      lxc-start 20180309155603.898 INFO     lxc_cgfsng - cgroups/cgfsng.c:cgfsng_setup_limits:1958 - cgroup has been setup
      lxc-start 20180309155604.214 NOTICE   lxc_utils - utils.c:lxc_switch_uid_gid:2064 - Switched to gid 0.
      lxc-start 20180309155604.214 NOTICE   lxc_utils - utils.c:lxc_switch_uid_gid:2070 - Switched to uid 0.
      lxc-start 20180309155604.214 NOTICE   lxc_utils - utils.c:lxc_setgroups:2082 - Dropped additional groups.
      lxc-start 20180309155604.217 DEBUG    lxc_conf - conf.c:setup_rootfs:1273 - mounted '/home/modit/.local/share/lxc/ubuntu2/rootfs' on '/usr/lib/x86_64-linux-gnu/lxc/rootfs'
      lxc-start 20180309155604.217 INFO     lxc_conf - conf.c:setup_utsname:901 - 'ubuntu2' hostname has been setup
